K;covariance;silhouette;Cal-Harabasz;BIC;DBCV;perplexity;wordEmbedding;docEmbedding;docEmbedding2
12;tied;0.358025462544257;9100.318057716031;159565.5477399384;-0.7241340564747749;100;cbow;WMD;MDS
13;tied;0.34593191232187176;8711.34315429406;159566.11344340257;-0.707969772341152;100;cbow;WMD;MDS
14;diag;0.34092463619811586;8893.640107447576;159571.46608670228;-0.7607146163493727;100;cbow;WMD;MDS
12;full;0.34323643015235705;8633.906106046346;159576.98268335304;-0.7195257222608363;100;cbow;WMD;MDS
7;full;0.3999204088626501;9036.513864075054;159579.28951952403;-0.711506655103928;100;cbow;WMD;MDS
8;full;0.3800155415019567;8627.658738487531;159587.61233781985;-0.6904102611208509;100;cbow;WMD;MDS
10;spherical;0.3676347519169584;8979.609792682828;159607.14161237376;-0.7546890664323725;100;cbow;WMD;MDS
11;spherical;0.35476815735345696;8885.819499720437;159620.45132658657;-0.7249252546686367;100;cbow;WMD;MDS
12;spherical;0.35873681950724073;9128.666007046251;159627.25539860636;-0.7157572633700646;100;cbow;WMD;MDS
11;tied;0.35304853673656095;8944.986553765439;159629.98118864163;-0.7596839865346373;100;cbow;WMD;MDS
10;diag;0.36485268246859504;8899.91345794781;159633.543283754;-0.7547173496754486;100;cbow;WMD;MDS
8;diag;0.3960057241021221;9294.361752258972;159635.68143174442;-0.6971618922350228;100;cbow;WMD;MDS
11;diag;0.3573617486594514;8918.124194789027;159644.34878312337;-0.734647865265092;100;cbow;WMD;MDS
13;diag;0.3414296773677639;8812.00060008747;159647.1394281696;-0.7208937004733749;100;cbow;WMD;MDS
12;diag;0.3602745259059804;9095.367522264203;159659.21681945134;-0.6942092982122706;100;cbow;WMD;MDS
9;diag;0.3788039032355269;9205.852326862234;159660.17072096566;-0.711461494640406;100;cbow;WMD;MDS
9;spherical;0.3829904245233385;9349.295954790136;159665.9606537514;-0.7344786224345591;100;cbow;WMD;MDS
10;tied;0.36844874205828637;9057.53244400611;159673.0772420328;-0.7421494420701689;100;cbow;WMD;MDS
9;tied;0.3841841075833202;9397.592299726059;159710.68621951228;-0.7023476224485417;100;cbow;WMD;MDS
8;spherical;0.3989548308870232;9454.74768389757;159778.4876539351;-0.7221473091007081;100;cbow;WMD;MDS
7;diag;0.40200005885207896;9347.192165942377;159808.89841198843;-0.741932080698199;100;cbow;WMD;MDS
8;tied;0.4007045076049774;9531.668084981024;159908.95939445225;-0.7406987553167119;100;cbow;WMD;MDS
6;diag;0.379524297898634;8131.462522416029;159911.24715610076;-0.7324529378014542;100;cbow;WMD;MDS
6;full;0.34531682874390657;7548.344630524252;159934.08806262002;-0.7601885475788299;100;cbow;WMD;MDS
7;spherical;0.40270258350840304;9491.739292734053;160058.67026297533;-0.7018342649946835;100;cbow;WMD;MDS
5;diag;0.35845277958754346;7335.522738298373;160145.53941435154;-0.7467692664645009;100;cbow;WMD;MDS
7;tied;0.406949883568453;9562.086385493802;160179.14257995467;-0.7442598528091713;100;cbow;WMD;MDS
5;full;0.36983781420212;7681.48758763392;160184.57757226986;-0.7952013774813405;100;cbow;WMD;MDS
6;tied;0.350924603292732;7868.036597600877;160373.95907907243;-0.7627605748945419;100;cbow;WMD;MDS
6;spherical;0.3542279851035016;7935.783989113947;160473.51249371874;-0.7799146351973245;100;cbow;WMD;MDS
4;full;0.3521973938024444;7135.971951389051;160719.55684892452;-0.8152075580248282;100;cbow;WMD;MDS
5;spherical;0.3701578756916386;7876.611264761552;160732.09422293174;-0.7946236620374212;100;cbow;WMD;MDS
5;tied;0.36771093064385385;7975.232446173665;160791.19908206584;-0.8118607358987178;100;cbow;WMD;MDS
4;diag;0.35771117894219306;7392.505763499791;161088.9893030187;-0.761082294021752;100;cbow;WMD;MDS
3;diag;0.30629565851648466;4524.960017908619;161255.82942425951;-0.7460559314903493;100;cbow;WMD;MDS
4;tied;0.37173260068615643;8146.844549255524;161325.50863232475;-0.806309870211079;100;cbow;WMD;MDS
3;full;0.376320241705058;7310.417242902033;161366.06742418016;-0.8481739456291952;100;cbow;WMD;MDS
4;spherical;0.3709248376829248;8056.564978334228;161518.42674521395;-0.7866186142060049;100;cbow;WMD;MDS
3;tied;0.3480192284214811;6725.097913582805;161796.06776881762;-0.7974395966842802;100;cbow;WMD;MDS
3;spherical;0.3725997553414716;7356.814423954572;162129.14602612553;-0.80746605572702;100;cbow;WMD;MDS
2;full;0.3731232478750756;6803.220880947741;162440.31665945018;-0.7572773426688497;100;cbow;WMD;MDS
2;diag;0.37139239026690035;6618.854262214137;162496.22189994893;-0.7681901220647748;100;cbow;WMD;MDS
2;tied;0.37374067133035205;6756.888459487815;162562.77967297594;-0.8833342508227717;100;cbow;WMD;MDS
2;spherical;0.3727006276553146;6586.3638562036995;162736.63001448798;-0.7849080497201046;100;cbow;WMD;MDS
11;full;0.33432659468883824;8054.492528630959;151856.82562256255;-0.6688417058186495;125;cbow;WMD;MDS
9;full;0.3614782411036486;8497.78662261833;151862.31915364915;-0.6851610895475543;125;cbow;WMD;MDS
10;full;0.3357175935409199;8308.28683858266;151872.0447498778;-0.6631100904321671;125;cbow;WMD;MDS
14;diag;0.33751748023570455;8829.472200450424;151876.26012869514;-0.6540002970521082;125;cbow;WMD;MDS
13;diag;0.331684159934337;8649.433372972368;151885.9576498272;-0.6811510764760931;125;cbow;WMD;MDS
12;full;0.34109273087915903;8571.703381875284;151906.08467525276;-0.7302093519979376;125;cbow;WMD;MDS
13;full;0.35228871144285273;8952.926623149939;151934.77886530978;-0.6558973398556627;125;cbow;WMD;MDS
12;diag;0.3360030965325524;8549.870061538968;151935.19970387965;-0.7177850713850545;125;cbow;WMD;MDS
14;full;0.3464995988124698;8969.641316722515;151940.69925305978;-0.6521422839615294;125;cbow;WMD;MDS
14;spherical;0.34694819821539913;9180.794074311156;151949.1725961492;-0.6770475902836739;125;cbow;WMD;MDS
8;full;0.35026485961740617;8139.288606789626;151952.98195725743;-0.688023229055368;125;cbow;WMD;MDS
11;diag;0.3473166711573022;8821.822765609884;151953.80279687783;-0.7110539039346767;125;cbow;WMD;MDS
13;spherical;0.339436014404375;8914.54898472105;151983.20989493054;-0.6944428599615131;125;cbow;WMD;MDS
14;tied;0.3509837864234023;9273.49195325192;151996.81190871994;-0.6679596733102545;125;cbow;WMD;MDS
13;tied;0.35739497715892793;9353.825451833069;152007.0674718805;-0.6871992116302494;125;cbow;WMD;MDS
7;full;0.3556407201031228;8063.6048157689775;152019.96471143342;-0.6728632252870039;125;cbow;WMD;MDS
12;spherical;0.35051155413032725;9143.78509669767;152044.79419091795;-0.723671390355129;125;cbow;WMD;MDS
12;tied;0.35247127255157207;9199.872379730015;152071.35241481406;-0.725692782455999;125;cbow;WMD;MDS
11;spherical;0.3555132632650744;9098.8534144011;152083.44704776982;-0.7318343527398453;125;cbow;WMD;MDS
10;diag;0.35365768367007755;8854.65455177716;152106.41002254758;-0.6647088678592177;125;cbow;WMD;MDS
6;full;0.3870936549191689;8732.756702850214;152124.64921356458;-0.640975001926736;125;cbow;WMD;MDS
11;tied;0.35869835886625884;9117.141482391009;152149.46524575748;-0.6785744506241409;125;cbow;WMD;MDS
7;diag;0.3627005281619815;8022.24837842978;152177.52813426152;-0.706985185573424;125;cbow;WMD;MDS
10;spherical;0.35987926251785424;8965.603020924316;152182.52353717646;-0.7025727647772011;125;cbow;WMD;MDS
9;diag;0.3611114228434498;8802.962235783194;152191.0911403048;-0.7084122209188344;125;cbow;WMD;MDS
8;diag;0.3582835787518743;8493.12851046133;152214.3101870705;-0.7461777983846565;125;cbow;WMD;MDS
10;tied;0.36198985627731317;9145.771240723481;152256.18872693187;-0.6671314252101298;125;cbow;WMD;MDS
8;spherical;0.35446297468064164;8427.64523498159;152256.852465418;-0.7057008784700127;125;cbow;WMD;MDS
9;spherical;0.3470320788481978;8762.547682634719;152287.51680255265;-0.6927554873994851;125;cbow;WMD;MDS
9;tied;0.36569444395534756;9245.229198184603;152351.12070140988;-0.6800224100299953;125;cbow;WMD;MDS
8;tied;0.35212209150633994;8744.8062321229;152364.7233553252;-0.6866768570765832;125;cbow;WMD;MDS
6;diag;0.40048377973353433;9343.643560257566;152445.6065502115;-0.7100441908682015;125;cbow;WMD;MDS
7;tied;0.3751003248856225;9190.062521498736;152471.5828208518;-0.687262499795598;125;cbow;WMD;MDS
7;spherical;0.38057448254619025;9191.907672986226;152534.08276473996;-0.7196620527064189;125;cbow;WMD;MDS
5;full;0.3910095225187182;8709.023286357016;152550.94684252221;-0.6779706956207903;125;cbow;WMD;MDS
5;diag;0.38823315064550035;8611.96147011835;152637.69618738626;-0.7417291420568508;125;cbow;WMD;MDS
6;spherical;0.40335751755474886;9539.52832998179;152665.43967301486;-0.7038271259521396;125;cbow;WMD;MDS
6;tied;0.4035050467137796;9576.340397457581;152667.738297173;-0.6532920512792849;125;cbow;WMD;MDS
5;tied;0.38176516411180156;8589.641032628724;153008.38791503548;-0.7080057142238696;125;cbow;WMD;MDS
4;full;0.3621497550747732;7313.445255933439;153121.22421253644;-0.7339525338326446;125;cbow;WMD;MDS
5;spherical;0.387443160795512;8863.632682531903;153232.20241246227;-0.7169541999539829;125;cbow;WMD;MDS
4;diag;0.34647252978850906;7074.266842691468;153277.73187638682;-0.8099471563848344;125;cbow;WMD;MDS
3;full;0.3625478129123614;6803.559781273361;153340.75647371728;-0.7730594094517069;125;cbow;WMD;MDS
4;tied;0.3497647272335984;7656.438014969722;153510.59405432604;-0.7741857567863717;125;cbow;WMD;MDS
4;spherical;0.3798455808647135;8381.591425026418;153797.75678959288;-0.8230748461876284;125;cbow;WMD;MDS
3;tied;0.30849632701852897;6127.774384930081;153924.68604077867;-0.7910969258615139;125;cbow;WMD;MDS
3;diag;0.38017089064475085;7963.978646974911;154390.9370126118;-0.7411350677530615;125;cbow;WMD;MDS
2;full;0.38865415571595524;7671.9117366689225;154456.22555507717;-0.7873546412959315;125;cbow;WMD;MDS
