K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
5;random;5210486.0;0.3798879645229218;8959.790712258291;-0.8030262411473936;kmeans;50;cbow;WMD;Distance;10;0.0001
4;random;6816077.0;0.37558702734256627;8387.61010197108;-0.7814842379428946;kmeans;50;cbow;WMD;Distance;10;0.0001
4;k-means++;6823571.0;0.37771680515606604;8374.907819537551;-0.8503079855185574;kmeans;50;cbow;WMD;Distance;10;0.0001
3;k-means++;9055925.0;0.40497858317763985;8295.916608472506;-0.923295081345055;kmeans;50;cbow;WMD;Distance;10;0.0001
3;random;9055949.0;0.40500288817756663;8295.891641739363;-0.918795188423279;kmeans;50;cbow;WMD;Distance;10;0.0001
2;k-means++;15431915.0;0.36076983429433074;5812.95377684037;-0.8938678390408727;kmeans;50;cbow;WMD;Distance;10;0.0001
2;random;15432309.0;0.3607992546435937;5812.710547166862;-0.8941197691578646;kmeans;50;cbow;WMD;Distance;10;0.0001
7;k-means++;2328035.5;0.37861791018550806;9435.235109351685;-0.806575691646342;kmeans;75;cbow;WMD;Distance;10;0.0001
7;random;2328373.75;0.37856936802412583;9433.411567318843;-0.8099055107139034;kmeans;75;cbow;WMD;Distance;10;0.0001
9;k-means++;1812165.75;0.37996007753532046;9426.419545948587;-0.7736099199568168;kmeans;75;cbow;WMD;Distance;10;0.0001
9;random;1812417.875;0.3788704301398346;9424.984379917089;-0.7612535899325336;kmeans;75;cbow;WMD;Distance;10;0.0001
6;k-means++;2730451.5;0.40096397351259183;9374.326680943901;-0.8186546155231762;kmeans;75;cbow;WMD;Distance;10;0.0001
6;random;2730489.75;0.4006513579730133;9374.209149261624;-0.8281134673482167;kmeans;75;cbow;WMD;Distance;10;0.0001
8;k-means++;2049377.5;0.38329943339587175;9370.088174654133;-0.7973907056415968;kmeans;75;cbow;WMD;Distance;10;0.0001
8;random;2049488.25;0.38331213121267876;9369.755792256026;-0.8052564004752087;kmeans;75;cbow;WMD;Distance;10;0.0001
10;random;1652962.625;0.37503983572674765;9286.6630929752;-0.75593932216429;kmeans;75;cbow;WMD;Distance;10;0.0001
10;k-means++;1659242.25;0.37283209072899937;9247.970297122347;-0.7639976762127206;kmeans;75;cbow;WMD;Distance;10;0.0001
14;k-means++;1186948.625;0.3553736578911449;9236.209615272694;-0.7416780019033306;kmeans;75;cbow;WMD;Distance;10;0.0001
14;random;1187833.75;0.3565292386811437;9229.034199182426;-0.7546169487422555;kmeans;75;cbow;WMD;Distance;10;0.0001
11;random;1514813.375;0.3691628914562157;9205.859853562655;-0.7796837645940784;kmeans;75;cbow;WMD;Distance;10;0.0001
11;k-means++;1514904.5;0.368926854791479;9205.35457491964;-0.7800433679368068;kmeans;75;cbow;WMD;Distance;10;0.0001
13;k-means++;1285867.875;0.3526366729234748;9176.255230637926;-0.7855919202632077;kmeans;75;cbow;WMD;Distance;10;0.0001
13;random;1286412.75;0.35111629969792146;9172.196358656825;-0.737201715260364;kmeans;75;cbow;WMD;Distance;10;0.0001
12;k-means++;1393765.375;0.3623523058422087;9169.757226345606;-0.769873992962689;kmeans;75;cbow;WMD;Distance;10;0.0001
5;k-means++;3333623.75;0.38623405874285954;9169.259323114225;-0.8353657221492634;kmeans;75;cbow;WMD;Distance;10;0.0001
5;random;3333621.75;0.38632314762292075;9169.249408319236;-0.8164211868744177;kmeans;75;cbow;WMD;Distance;10;0.0001
12;random;1396643.25;0.35280535472062824;9149.258588994195;-0.7747471520539098;kmeans;75;cbow;WMD;Distance;10;0.0001
3;k-means++;5609326.0;0.4204297728023285;8974.114765156553;-0.8584339861614284;kmeans;75;cbow;WMD;Distance;10;0.0001
3;random;5609336.5;0.4203965885228109;8974.102154865595;-0.8330071232924259;kmeans;75;cbow;WMD;Distance;10;0.0001
4;k-means++;4400136.0;0.39120071626384684;8496.223504106238;-0.8764058850752423;kmeans;75;cbow;WMD;Distance;10;0.0001
4;random;4400226.5;0.39093362455396763;8495.840009284948;-0.8708595488672868;kmeans;75;cbow;WMD;Distance;10;0.0001
2;k-means++;9298451.0;0.3830322247741569;7059.789704660069;-0.8946208996632368;kmeans;75;cbow;WMD;Distance;10;0.0001
2;random;9298488.0;0.3830377190534;7059.750008680308;-0.8945769395274078;kmeans;75;cbow;WMD;Distance;10;0.0001
7;k-means++;1749783.0;0.39298055800479537;9329.30338242978;-0.7844168609320405;kmeans;100;cbow;WMD;Distance;10;0.0001
7;random;1749841.25;0.39308697879184173;9328.905660696639;-0.7765472505253905;kmeans;100;cbow;WMD;Distance;10;0.0001
11;k-means++;1131170.625;0.3733525052337272;9174.312988037636;-0.7397628074528257;kmeans;100;cbow;WMD;Distance;10;0.0001
11;random;1131658.125;0.3706045557116941;9169.759719515869;-0.7397119628727499;kmeans;100;cbow;WMD;Distance;10;0.0001
12;k-means++;1040368.125;0.35929846161578205;9142.491422040066;-0.7303917602272004;kmeans;100;cbow;WMD;Distance;10;0.0001
12;random;1041081.9375;0.35852333062907044;9136.103241957788;-0.7381578804640929;kmeans;100;cbow;WMD;Distance;10;0.0001
8;random;1560831.125;0.36827711966449556;9127.90396992616;-0.7790356941592165;kmeans;100;cbow;WMD;Distance;10;0.0001
8;k-means++;1560895.875;0.3682942591728071;9127.533653001803;-0.7820197572001151;kmeans;100;cbow;WMD;Distance;10;0.0001
13;k-means++;963613.4375;0.3550406157022967;9110.24296780386;-0.7258472893879204;kmeans;100;cbow;WMD;Distance;10;0.0001
13;random;967938.1875;0.3548330496319551;9065.989710529904;-0.6925023844109942;kmeans;100;cbow;WMD;Distance;10;0.0001
14;random;899255.25;0.35051720955563503;9062.420804220785;-0.7146528297176551;kmeans;100;cbow;WMD;Distance;10;0.0001
9;random;1399116.5;0.35776301540909305;9046.192350164447;-0.723885298266537;kmeans;100;cbow;WMD;Distance;10;0.0001
9;k-means++;1399207.125;0.3579037407088941;9045.520881100098;-0.7393771940385863;kmeans;100;cbow;WMD;Distance;10;0.0001
10;k-means++;1261645.25;0.3626746908512003;9031.553522310856;-0.7267152998450788;kmeans;100;cbow;WMD;Distance;10;0.0001
10;random;1261822.0;0.3591553437798047;9029.916943098156;-0.7350854594469067;kmeans;100;cbow;WMD;Distance;10;0.0001
14;k-means++;902320.125;0.35081062150420866;9029.32757950229;-0.705873339392988;kmeans;100;cbow;WMD;Distance;10;0.0001
6;k-means++;2104930.0;0.3708709838500552;8986.871208964169;-0.7950766570508686;kmeans;100;cbow;WMD;Distance;10;0.0001
6;random;2104946.75;0.3708546207070049;8986.754984816307;-0.7951937153302199;kmeans;100;cbow;WMD;Distance;10;0.0001
5;random;2526596.5;0.38039208872005326;8963.699201773192;-0.790844437550375;kmeans;100;cbow;WMD;Distance;10;0.0001
5;k-means++;2526697.0;0.37998448738745233;8963.023906224425;-0.8027782638003458;kmeans;100;cbow;WMD;Distance;10;0.0001
4;random;3231540.5;0.39358810775119074;8654.635439038413;-0.8551943584593156;kmeans;100;cbow;WMD;Distance;10;0.0001
4;k-means++;3231576.5;0.3934290647335535;8654.510139751972;-0.8271694214126372;kmeans;100;cbow;WMD;Distance;10;0.0001
3;random;4465912.0;0.3982577363905943;8082.415048036708;-0.8241307022983961;kmeans;100;cbow;WMD;Distance;10;0.0001
3;k-means++;4466250.0;0.39769349962710193;8081.586664792753;-0.8207115726440578;kmeans;100;cbow;WMD;Distance;10;0.0001
2;k-means++;7594044.5;0.3439430164823207;5594.098118785024;-0.878734008020543;kmeans;100;cbow;WMD;Distance;10;0.0001
2;random;7594066.0;0.3446640959035189;5593.96565625787;-0.875144999712941;kmeans;100;cbow;WMD;Distance;10;0.0001
10;k-means++;837206.0;0.38238803252212505;9170.41914681035;-0.7721268762862799;kmeans;125;cbow;WMD;Distance;10;0.0001
10;random;837213.75;0.3823486365063565;9170.157889740583;-0.7410425642654777;kmeans;125;cbow;WMD;Distance;10;0.0001
