K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
11;random;10;0.0001;938492.8125;0.4033777806205442;15341.857704782376;-0.6407914961357839;kmeans;100;cbow;Moyenne;TF
11;k-means++;10;0.0001;939715.0;0.40051190363214023;15320.533016284217;-0.6314721615704997;kmeans;100;cbow;Moyenne;TF
10;k-means++;10;0.0001;1048983.125;0.3898783076224735;15141.68960577422;-0.6416944168263733;kmeans;100;cbow;Moyenne;TF
10;random;10;0.0001;1052082.375;0.3919799604005207;15093.247139642472;-0.6547337613297702;kmeans;100;cbow;Moyenne;TF
9;k-means++;10;0.0001;1181540.375;0.3994678430341199;14991.383461374608;-0.5545028995447929;kmeans;100;cbow;Moyenne;TF
9;random;10;0.0001;1182035.375;0.39967968387447744;14985.03336879557;-0.5983651382612502;kmeans;100;cbow;Moyenne;TF
6;k-means++;10;0.0001;1858957.625;0.4190025046223912;14557.94001354358;-0.682513956130242;kmeans;100;cbow;Moyenne;TF
6;random;10;0.0001;1859231.0;0.419518286435935;14555.680059649003;-0.6844662273152616;kmeans;100;cbow;Moyenne;TF
8;random;10;0.0001;1379653.375;0.3982657970129377;14479.915839585767;-0.7112072945669834;kmeans;100;cbow;Moyenne;TF
8;k-means++;10;0.0001;1383360.5;0.40633008961598516;14437.076638258339;-0.6007638286215743;kmeans;100;cbow;Moyenne;TF
7;k-means++;10;0.0001;1596332.75;0.3959351434786609;14386.364649360778;-0.5835796591788763;kmeans;100;cbow;Moyenne;TF
7;random;10;0.0001;1598531.0;0.39629477973871974;14364.779305320195;-0.6195825317763576;kmeans;100;cbow;Moyenne;TF
5;random;10;0.0001;2311118.5;0.44672366788435036;14174.164392461451;-0.7384387975119714;kmeans;100;cbow;Moyenne;TF
5;k-means++;10;0.0001;2311156.25;0.44665077540702547;14173.93815891528;-0.7383146456327869;kmeans;100;cbow;Moyenne;TF
4;k-means++;10;0.0001;3126839.5;0.45743209311483163;13144.14505051228;-0.6035077953282098;kmeans;100;cbow;Moyenne;TF
4;random;10;0.0001;3126942.75;0.45737208561147313;13143.79398690969;-0.6074654349984617;kmeans;100;cbow;Moyenne;TF
3;random;10;0.0001;4687082.5;0.4763397364210216;11573.592797312944;-0.604364577330419;kmeans;100;cbow;Moyenne;TF
3;k-means++;10;0.0001;4687086.0;0.4763397364210216;11573.592797312944;-0.604364577330419;kmeans;100;cbow;Moyenne;TF
2;k-means++;10;0.0001;8132906.5;0.4608407218824958;9316.722600421886;-0.7290704288627862;kmeans;100;cbow;Moyenne;TF
2;random;10;0.0001;8132964.5;0.46085338792402014;9316.715306192551;-0.729084357703459;kmeans;100;cbow;Moyenne;TF
14;k-means++;10;0.0001;525977.75;0.3946825553801944;17445.841442424524;-0.5176635866188424;kmeans;125;cbow;Moyenne;TF
14;random;10;0.0001;526054.0;0.395090955138691;17444.852876285117;-0.5557376376391545;kmeans;125;cbow;Moyenne;TF
13;k-means++;10;0.0001;586126.4375;0.38891383948740504;16880.90815179759;-0.6003173801454159;kmeans;125;cbow;Moyenne;TF
13;random;10;0.0001;586593.9375;0.39708353019592574;16866.743603966534;-0.5871848794873487;kmeans;125;cbow;Moyenne;TF
12;k-means++;10;0.0001;645622.9375;0.3958418032167607;16640.77894420047;-0.6066094525020879;kmeans;125;cbow;Moyenne;TF
12;random;10;0.0001;648290.625;0.4015120819940394;16568.709095046725;-0.5932768854259807;kmeans;125;cbow;Moyenne;TF
11;k-means++;10;0.0001;713494.625;0.4046164851095861;16474.593677415636;-0.6391700451204965;kmeans;125;cbow;Moyenne;TF
11;random;10;0.0001;713527.3125;0.4046371930981737;16474.19202117335;-0.6390811733607514;kmeans;125;cbow;Moyenne;TF
10;k-means++;10;0.0001;795247.0625;0.3917274743562388;16317.855103334341;-0.6508480298728937;kmeans;125;cbow;Moyenne;TF
10;random;10;0.0001;798846.8125;0.3938439152086384;16240.096866019101;-0.6621776874552583;kmeans;125;cbow;Moyenne;TF
9;k-means++;10;0.0001;898050.8125;0.4012312068894242;16121.297393616664;-0.6222666377534596;kmeans;125;cbow;Moyenne;TF
9;random;10;0.0001;898087.3125;0.40124218207939294;16120.633595176329;-0.6231393557817357;kmeans;125;cbow;Moyenne;TF
6;k-means++;10;0.0001;1408433.5;0.4228979215633774;15763.230725432266;-0.7038210964126791;kmeans;125;cbow;Moyenne;TF
6;random;10;0.0001;1408486.125;0.42284464438306135;15762.657956258254;-0.6990380293325102;kmeans;125;cbow;Moyenne;TF
7;k-means++;10;0.0001;1207525.5;0.40006366298722124;15584.123345506401;-0.6939478467986314;kmeans;125;cbow;Moyenne;TF
8;k-means++;10;0.0001;1048982.0;0.4074589893877694;15579.900537991438;-0.6456729807840687;kmeans;125;cbow;Moyenne;TF
8;random;10;0.0001;1049929.0;0.40719486878646766;15564.991159640938;-0.61826025325046;kmeans;125;cbow;Moyenne;TF
7;random;10;0.0001;1223666.0;0.397050652182182;15357.942615468251;-0.6260430993919948;kmeans;125;cbow;Moyenne;TF
