K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
2;random;15518028.0;0.41670217020396166;8892.878483172886;-0.8877055064304534;kmeans;50;skipgram;WMD;Distance;10;0.0001
2;k-means++;15518008.0;0.41670217020396166;8892.878483172886;-0.8877055064304534;kmeans;50;skipgram;WMD;Distance;10;0.0001
3;k-means++;10983745.0;0.40057254747223103;8241.787202792448;-0.8466993290214209;kmeans;50;skipgram;WMD;Distance;10;0.0001
3;random;10983786.0;0.40075206299093674;8241.709017765193;-0.8146952964583044;kmeans;50;skipgram;WMD;Distance;10;0.0001
14;random;1280547.875;0.40371036806973504;10594.844090283506;-0.765922692082966;kmeans;75;skipgram;WMD;Distance;10;0.0001
14;k-means++;1285839.375;0.38711177941797686;10548.362147744201;-0.7311807804370145;kmeans;75;skipgram;WMD;Distance;10;0.0001
13;k-means++;1388392.0;0.40262504077711175;10526.536077599996;-0.7206222901170232;kmeans;75;skipgram;WMD;Distance;10;0.0001
13;random;1388967.125;0.4009303369081613;10521.337104781513;-0.7396977974838292;kmeans;75;skipgram;WMD;Distance;10;0.0001
12;random;1527826.125;0.4000523236705096;10357.14551295362;-0.7514720321895383;kmeans;75;skipgram;WMD;Distance;10;0.0001
12;k-means++;1527907.75;0.40039357237843004;10356.522567915881;-0.7433056639166645;kmeans;75;skipgram;WMD;Distance;10;0.0001
11;k-means++;1694232.125;0.3901521365775523;10181.791515807732;-0.7636561822618578;kmeans;75;skipgram;WMD;Distance;10;0.0001
11;random;1695184.625;0.3881149427250987;10175.780014306458;-0.7644765886387632;kmeans;75;skipgram;WMD;Distance;10;0.0001
2;random;9611952.0;0.4372923673881491;10138.99774451505;-0.9359730049408861;kmeans;75;skipgram;WMD;Distance;10;0.0001
2;k-means++;9612010.0;0.4373481629543041;10138.842784449615;-0.9361284534235319;kmeans;75;skipgram;WMD;Distance;10;0.0001
10;random;1879479.75;0.39111052390992923;10095.140217596261;-0.7752797433172329;kmeans;75;skipgram;WMD;Distance;10;0.0001
10;k-means++;1879478.875;0.39115898598293003;10095.105668613382;-0.7746808464904603;kmeans;75;skipgram;WMD;Distance;10;0.0001
9;random;2125156.0;0.38819692122024724;9908.035194117065;-0.7719689576770028;kmeans;75;skipgram;WMD;Distance;10;0.0001
9;k-means++;2125345.0;0.38785181052813594;9907.233665898024;-0.7784977081180748;kmeans;75;skipgram;WMD;Distance;10;0.0001
8;k-means++;2460240.25;0.37161317985503733;9597.486980843629;-0.8223204268031782;kmeans;75;skipgram;WMD;Distance;10;0.0001
8;random;2460970.0;0.3775495008479386;9594.40716728287;-0.8186477257237237;kmeans;75;skipgram;WMD;Distance;10;0.0001
7;random;2815721.25;0.3698503480307693;9584.780502528049;-0.8036914569265656;kmeans;75;skipgram;WMD;Distance;10;0.0001
