K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
8;k-means++;10;0.0001;708488.1875;0.4305263859486878;20891.77046924183;-0.6394703738982165;kmeans;150;cbow;Moyenne;TFIDF
8;random;10;0.0001;712587.5;0.427532439086639;20763.61218682359;-0.6436402973293073;kmeans;150;cbow;Moyenne;TFIDF
7;k-means++;10;0.0001;832300.125;0.45071607468665353;20513.36565481753;-0.6844813323907897;kmeans;150;cbow;Moyenne;TFIDF
7;random;10;0.0001;832525.625;0.4504588541953304;20507.730311869327;-0.7320570291540265;kmeans;150;cbow;Moyenne;TFIDF
6;k-means++;10;0.0001;1042388.5;0.47110368646445655;19274.80402321085;-0.5831968410936621;kmeans;150;cbow;Moyenne;TFIDF
6;random;10;0.0001;1042474.375;0.4695148445473304;19273.87795581876;-0.6237232691548277;kmeans;150;cbow;Moyenne;TFIDF
5;k-means++;10;0.0001;1334615.25;0.48985297352507506;18299.87307162386;-0.6417319680656444;kmeans;150;cbow;Moyenne;TFIDF
5;random;10;0.0001;1334794.625;0.4899638319926709;18297.174162417978;-0.6220169351471527;kmeans;150;cbow;Moyenne;TFIDF
4;k-means++;10;0.0001;1924818.75;0.5008692897416663;15949.257164707642;-0.6147078798763196;kmeans;150;cbow;Moyenne;TFIDF
4;random;10;0.0001;1924870.75;0.5008766739943983;15948.905316629776;-0.6132903237848765;kmeans;150;cbow;Moyenne;TFIDF
3;k-means++;10;0.0001;3153466.5;0.49969086102827476;12753.598098093322;-0.5640307962161385;kmeans;150;cbow;Moyenne;TFIDF
3;random;10;0.0001;3153582.75;0.4998892028865006;12752.973123754664;-0.5551065358523971;kmeans;150;cbow;Moyenne;TFIDF
2;random;10;0.0001;5727828.0;0.47747859301797435;9775.133555834811;-0.6442465706288584;kmeans;150;cbow;Moyenne;TFIDF
2;k-means++;10;0.0001;5727843.5;0.47747375710702333;9775.119566343514;-0.6442439633426829;kmeans;150;cbow;Moyenne;TFIDF
14;k-means++;10;0.0001;254537.359375;0.4042999273812608;24527.133502658085;-0.6182703318901771;kmeans;200;cbow;Moyenne;TFIDF
14;random;10;0.0001;254840.390625;0.403832165250122;24498.707379385076;-0.6429200883444963;kmeans;200;cbow;Moyenne;TFIDF
13;k-means++;10;0.0001;276663.0625;0.40223006419630836;24386.432239844948;-0.6043844287233672;kmeans;200;cbow;Moyenne;TFIDF
13;random;10;0.0001;278887.5625;0.396064950874383;24185.65512547031;-0.5792916610583727;kmeans;200;cbow;Moyenne;TFIDF
