K;initialisation;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2;nb_iter;tolerance
2;random;16493359.0;0.3823115010125284;7322.232244228622;-0.9371857468661164;kmeans;50;glove;WMD;Distance;10;0.0001
2;k-means++;16493483.0;0.3823276304948637;7322.086658317716;-0.9372652886164026;kmeans;50;glove;WMD;Distance;10;0.0001
12;k-means++;1824489.0;0.3642099939135943;8925.487861502392;-0.8063492544070766;kmeans;75;glove;WMD;Distance;10;0.0001
12;random;1825471.375;0.3622834814591555;8919.944517682794;-0.7893961086597842;kmeans;75;glove;WMD;Distance;10;0.0001
11;k-means++;1992546.625;0.3690110194966059;8910.67470461808;-0.7935791127982659;kmeans;75;glove;WMD;Distance;10;0.0001
11;random;1992530.375;0.36905102998075695;8910.671143345477;-0.7904628596688751;kmeans;75;glove;WMD;Distance;10;0.0001
9;k-means++;2438471.5;0.3755559957643426;8886.40624811935;-0.809232704612117;kmeans;75;glove;WMD;Distance;10;0.0001
9;random;2439597.25;0.3750914086122305;8881.853834096144;-0.799015344065299;kmeans;75;glove;WMD;Distance;10;0.0001
13;random;1693390.25;0.35624379537376;8875.382579054047;-0.7948274959888488;kmeans;75;glove;WMD;Distance;10;0.0001
10;random;2202805.25;0.3644385343731408;8855.92270292602;-0.8088727534103436;kmeans;75;glove;WMD;Distance;10;0.0001
10;k-means++;2202846.25;0.3642634779746767;8855.860487088285;-0.8086345648377558;kmeans;75;glove;WMD;Distance;10;0.0001
13;k-means++;1699815.75;0.3543686561524128;8838.829606871433;-0.7821265932717503;kmeans;75;glove;WMD;Distance;10;0.0001
8;k-means++;2754856.5;0.3661503830006979;8834.682743969273;-0.7863530372553664;kmeans;75;glove;WMD;Distance;10;0.0001
8;random;2755043.0;0.368430062723391;8833.97475077533;-0.8338507331565453;kmeans;75;glove;WMD;Distance;10;0.0001
14;random;1580736.125;0.3510327309303746;8827.649627379065;-0.7844521135577567;kmeans;75;glove;WMD;Distance;10;0.0001
14;k-means++;1588384.0;0.3473632219726706;8781.720164446058;-0.7744409960511502;kmeans;75;glove;WMD;Distance;10;0.0001
7;random;3206393.75;0.37284783277560635;8633.719852826229;-0.8427002783798614;kmeans;75;glove;WMD;Distance;10;0.0001
7;k-means++;3206399.0;0.3728652993250291;8633.678353236337;-0.8426998372973215;kmeans;75;glove;WMD;Distance;10;0.0001
5;random;4637329.0;0.35629798019123565;8223.707017242079;-0.8315173676112924;kmeans;75;glove;WMD;Distance;10;0.0001
5;k-means++;4637386.5;0.35625614031004654;8223.62774307637;-0.8314376108739516;kmeans;75;glove;WMD;Distance;10;0.0001
6;k-means++;3902841.75;0.37243491000522194;8173.7021432937845;-0.8382487689648841;kmeans;75;glove;WMD;Distance;10;0.0001
6;random;3902944.75;0.3724486440473601;8173.481781602101;-0.838242916709546;kmeans;75;glove;WMD;Distance;10;0.0001
3;random;7614218.5;0.3922341093811201;8162.424749561727;-0.8168320266055872;kmeans;75;glove;WMD;Distance;10;0.0001
3;k-means++;7614232.0;0.3922341093811201;8162.424749561727;-0.8168320266055872;kmeans;75;glove;WMD;Distance;10;0.0001
4;k-means++;5809885.5;0.3701590749940449;8114.0290629826395;-0.8568293169691008;kmeans;75;glove;WMD;Distance;10;0.0001
4;random;5809903.5;0.3704129599492459;8113.96281981173;-0.8288432279260765;kmeans;75;glove;WMD;Distance;10;0.0001
2;k-means++;11807299.0;0.3811220613412381;7155.402892219905;-0.8871439453244526;kmeans;75;glove;WMD;Distance;10;0.0001
2;random;11807273.0;0.3811116801599996;7155.344252161134;-0.8870923721720543;kmeans;75;glove;WMD;Distance;10;0.0001
12;k-means++;1303236.5;0.3708322797066366;8845.373323766089;-0.753675884509039;kmeans;100;glove;WMD;Distance;10;0.0001
12;random;1303436.25;0.37050061318274324;8843.973133924146;-0.7562621615097135;kmeans;100;glove;WMD;Distance;10;0.0001
13;k-means++;1205282.5;0.36329806811732224;8830.529052430913;-0.7504524837144433;kmeans;100;glove;WMD;Distance;10;0.0001
