K;initialisation;nb_iter;tolerance;val_obj;silhouette;Cal-Harabasz;DBCV;clustering;perplexity;wordEmbedding;docEmbedding;docEmbedding2
3;k-means++;10;0.0001;7369136.0;0.4082554422724417;9396.905217454634;-0.7800697679483605;kmeans;75;skipgram;Moyenne;TFIDF
14;k-means++;10;0.0001;887340.0;0.3755559556344872;12533.194663955102;-0.5612276490055623;kmeans;100;skipgram;Moyenne;TFIDF
14;random;10;0.0001;888181.875;0.3871630723058556;12520.50390554223;-0.6056803817142403;kmeans;100;skipgram;Moyenne;TFIDF
13;random;10;0.0001;958430.625;0.38502637197438955;12513.194235421062;-0.577351506114428;kmeans;100;skipgram;Moyenne;TFIDF
13;k-means++;10;0.0001;958613.6875;0.384544625462601;12510.740249672432;-0.6123379566685596;kmeans;100;skipgram;Moyenne;TFIDF
12;random;10;0.0001;1050438.25;0.38164733787409394;12380.909963328682;-0.594546786226947;kmeans;100;skipgram;Moyenne;TFIDF
12;k-means++;10;0.0001;1050523.125;0.3799810853174195;12379.814798787422;-0.5951350227291858;kmeans;100;skipgram;Moyenne;TFIDF
11;random;10;0.0001;1155804.0;0.38601535425932026;12292.25376175812;-0.5610260677015416;kmeans;100;skipgram;Moyenne;TFIDF
11;k-means++;10;0.0001;1155786.125;0.38591192833855126;12292.17956061102;-0.5546763885206227;kmeans;100;skipgram;Moyenne;TFIDF
10;random;10;0.0001;1295268.125;0.3801883389968856;12074.901215719885;-0.6172012086615644;kmeans;100;skipgram;Moyenne;TFIDF
10;k-means++;10;0.0001;1296972.875;0.37946759806093683;12058.44982206439;-0.6014682676013321;kmeans;100;skipgram;Moyenne;TFIDF
7;k-means++;10;0.0001;1903029.25;0.38208982506512507;11826.668019138515;-0.6270429255654163;kmeans;100;skipgram;Moyenne;TFIDF
7;random;10;0.0001;1903099.125;0.3814425156733327;11826.190378573392;-0.6151574097244946;kmeans;100;skipgram;Moyenne;TFIDF
9;k-means++;10;0.0001;1471742.375;0.36651164294146205;11814.542273056044;-0.603267365910581;kmeans;100;skipgram;Moyenne;TFIDF
9;random;10;0.0001;1471857.625;0.3662308037288041;11813.608238928111;-0.5786270049860377;kmeans;100;skipgram;Moyenne;TFIDF
8;k-means++;10;0.0001;1667395.25;0.3726722486724727;11760.050001505882;-0.562917412241209;kmeans;100;skipgram;Moyenne;TFIDF
8;random;10;0.0001;1670295.875;0.37256157656000893;11737.783301599924;-0.6600290479367015;kmeans;100;skipgram;Moyenne;TFIDF
5;k-means++;10;0.0001;2719803.5;0.3947136213875965;11701.987601283212;-0.6543948702492066;kmeans;100;skipgram;Moyenne;TFIDF
5;random;10;0.0001;2719903.25;0.3947260844334397;11701.55554401755;-0.6414449659585604;kmeans;100;skipgram;Moyenne;TFIDF
4;k-means++;10;0.0001;3438019.75;0.41727036996471134;11683.12545078799;-0.731624347681906;kmeans;100;skipgram;Moyenne;TFIDF
4;random;10;0.0001;3438222.75;0.4173316130499606;11682.59633422459;-0.7324792277090264;kmeans;100;skipgram;Moyenne;TFIDF
6;k-means++;10;0.0001;2264058.5;0.39526753308219226;11627.113901801078;-0.6645904322460927;kmeans;100;skipgram;Moyenne;TFIDF
6;random;10;0.0001;2264391.25;0.3953194995147876;11625.600279863349;-0.6489335043192334;kmeans;100;skipgram;Moyenne;TFIDF
2;random;10;0.0001;7538968.0;0.4589912830130716;10819.875158550412;-0.6472772086982376;kmeans;100;skipgram;Moyenne;TFIDF
2;k-means++;10;0.0001;7538990.5;0.4591311389705174;10819.822864200929;-0.64265584068702;kmeans;100;skipgram;Moyenne;TFIDF
3;k-means++;10;0.0001;5102848.5;0.41681857216117796;10259.01172025684;-0.690349449467691;kmeans;100;skipgram;Moyenne;TFIDF
3;random;10;0.0001;5103916.5;0.42098947281644916;10256.3174307572;-0.7810241946801156;kmeans;100;skipgram;Moyenne;TFIDF
13;k-means++;10;0.0001;710888.75;0.38609914071336526;13109.929762963915;-0.5788289463060239;kmeans;125;skipgram;Moyenne;TFIDF
13;random;10;0.0001;711338.5;0.3855247308567486;13101.521939533206;-0.5678095001002389;kmeans;125;skipgram;Moyenne;TFIDF
14;k-means++;10;0.0001;659964.125;0.3867769896845073;13090.454665047271;-0.5280688388336842;kmeans;125;skipgram;Moyenne;TFIDF
14;random;10;0.0001;662293.875;0.37551808290384814;13041.95448379753;-0.5543613437610406;kmeans;125;skipgram;Moyenne;TFIDF
12;random;10;0.0001;781518.1875;0.3818330441176952;12932.690182668139;-0.5681314156642928;kmeans;125;skipgram;Moyenne;TFIDF
12;k-means++;10;0.0001;781776.6875;0.38222473478169683;12928.690839012226;-0.5649133503559008;kmeans;125;skipgram;Moyenne;TFIDF
11;random;10;0.0001;856700.125;0.38734503819430005;12896.184618480733;-0.5592192911941615;kmeans;125;skipgram;Moyenne;TFIDF
11;k-means++;10;0.0001;856719.6875;0.387837106455028;12895.452030863473;-0.5945739019321438;kmeans;125;skipgram;Moyenne;TFIDF
10;random;10;0.0001;969511.875;0.3788125899309441;12539.786568703506;-0.6121598578120514;kmeans;125;skipgram;Moyenne;TFIDF
10;k-means++;10;0.0001;969558.5;0.378825070323235;12539.509227385966;-0.6159407166554214;kmeans;125;skipgram;Moyenne;TFIDF
